"Fcilty_typ","State","Fcilty_nam","Shp_num_an","Shp_centre","Street_add","Locality","Postcode","Hrs_of_bus","Wheelchair","Display_wd","Fcilty_typ_2","Xcoord","Ycoord","uuid","result","Audio"
,VIC,Dan Murphy's Stores,,,1 Thompsons Road,Bulleen,3105,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,145.082054,-37.778919,,,
,VIC,Dan Murphy's Stores,,Polaris Shopping Centre,1056-1140 Plenty Road ,Bundoora,3083,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,145.051775,-37.708076,,,
,VIC,Dan Murphy's Stores,,,"385-395 Burwood Highway, Vermont South",Burvale,3133,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,145.170806,-37.853529,,,
,VIC,Dan Murphy's Stores,,,"171 Camberwell Road, HAWTHORN EAST",Camberwell,3123,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,145.054857,-37.829718,,,
,VIC,Dan Murphy's Stores,,,639 Warrigal Rd ,Chadstone,3148,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,145.091773,-37.874995,,,
,VIC,Dan Murphy's Stores,,,1-19 Wells Road ,Chelsea Heights,3196,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,145.13333,-38.027998,,,
,VIC,Dan Murphy's Stores,,,1 Louisa Street ,Coburg,3058,"9:00AM-8:00PM Mon-Wed, 9:00AM-9:00PM Thur-Fri, 9:00AM-8:00PM Sat, 10:00AM-6:00PM Sun  ",,,,144.964121,-37.744131,,,
,VIC,Dan Murphy's Stores,,,216 - 230 Princes Highway ,Corio,3214,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,144.364752,-38.080742,,,
,VIC,Dan Murphy's Stores,,Jackson Court Shopping Center,898 Doncaster Rd,Doncaster East,3109,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,145.148729,-37.788007,,,
,VIC,Dan Murphy's Stores,,,26 Princes Highway,Doveton,3177,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,145.234109,-38.000693,,,
,VIC,Dan Murphy's Stores,,,166-168 Annesley Street ,Echuca,3564,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,144.7525,-36.128504,,,
,VIC,Dan Murphy's Stores,,,"6-20 Luck Street, Shop 2 ",Eltham,3095,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,145.150344,-37.71298,,,
,VIC,Dan Murphy's Stores,,Endeavour Hills Shopping Centre ,Cnr Heatherton Road & Mathew Flinders Avenue,Endeavour Hill,3802,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,,,,,
,VIC,Dan Murphy's Stores,,,571-583 High Street ,Epping,3076,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,145.021072,-37.654662,,,
,VIC,Dan Murphy's Stores,,Essendon Fields Shopping Center,100 Bulla Rd,Essendon Fields,3041,"9:00AM-8:00PM Mon-Wed, 9:00AM-9:00PM Thur-Fri, 9:00AM-8:00PM Sat, 10:00AM-7:00PM Sun  ",,,,144.904022,-37.733488,,,
,VIC,Dan Murphy's Stores,,,1435 Sydney Road ,Fawkner,3060,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,144.957011,-37.690513,,,
,VIC,Dan Murphy's Stores,Shop 5 ,Brentford Square,500 Canterbury Road,Forest Hill,3131,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,145.184289,-37.83656,,,
,VIC,Dan Murphy's Stores,,,425 Nepean Highway ,Frankston,3199,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,145.122657,-38.141676,,,
,VIC,Dan Murphy's Stores,,,155-157 Pakington Street ,Geelong ,3218,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,144.347889,-38.141271,,,
,VIC,Dan Murphy's Stores,,,5-35 Kingsway,Glen Waverley,3150,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,145.163893,-37.879109,,,
,VIC,Dan Murphy's Stores,,,150 Hogans Road,Hogans Corner,3029,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,144.311084,-36.871019,,,
,VIC,Dan Murphy's Stores,,,332-334 Cranbourne road ,Karingal,3199,"9:00AM-8:00PM Mon-Wed, 9:00AM-9:00PM Thur-Fri, 9:00AM-8:00PM Sat, 10:00AM-6:00PM Sun  ",,,,145.166316,-38.154536,,,
,VIC,Dan Murphy's Stores,,,299 High Street ,Kew,3101,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,145.035378,-37.804737,,,
,VIC,Dan Murphy's Stores,,,2 - 8 Edsall Street ,Malvern,3144,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,145.02936,-37.861275,,,
,VIC,Dan Murphy's Stores,,,811 - 823 Dandenong Road ,Malvern East,3145,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,145.03999,-37.874154,,,
,VIC,Dan Murphy's Stores,,,"941 Thompsons Road, Lyndhurst",Marriott Waters,3975,"9:00AM-8:00PM Mon-Fri, 9:00AM-7:00PM Sat, 10:00AM-6:00PM Sun  ",,,,145.249173,-38.078847,,,
,VIC,Dan Murphy's Stores,,"Level 1, Queen Victoria Building","Crn Lonsdale & Swanston Street, ",Melbourne Qv,3000,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,144.96586,-37.810506,,,
,VIC,Dan Murphy's Stores,,,585 High street ,Melton,3337,"9:00AM-8:00PM Mon-Thu, 9:00AM-9:00PM Fri, 9:00AM-8:00PM Sat, 10:00AM-6:00PM Sun  ",,,,144.558786,-37.685041,,,
,VIC,Dan Murphy's Stores,,,809-825 Fifteenth Street ,Mildura,3500,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,142.141267,-34.209168,,,
,VIC,Dan Murphy's Stores,,,Cnr Benton & Dunns Road ,Mornington East,3931,"9:00AM-9:00PM Mon-Sat, 10:00AM-8:00PM Sun  ",,,,-90.035976,35.091488,,,
,VIC,Dan Murphy's Stores,,,2277 Dandenong Road ,Mulgrave,3170,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,145.154767,-37.930688,,,
,VIC,Dan Murphy's Stores,,,206 Warrigal Road ,Oakleigh South,3167,"9:00AM-8:00PM Mon-Fri, 9:00AM-8:00PM Sat, 10:00AM-7:00PM Sun  ",,,,145.085565,-37.910096,,,
,VIC,Dan Murphy's Stores,,,8 Portobello Road ,Pakenham,3810,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,145.455653,-38.064336,,,
,VIC,Dan Murphy's Stores,,Parkdale Plaza ,"Unit 4, 363-383 Nepean Highway",Parkdale,3195,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,145.084533,-37.997428,,,
,VIC,Dan Murphy's Stores,,,9 Murnong Street ,Point Cook,3030,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,144.733848,-37.882625,,,
,VIC,Dan Murphy's Stores,,,273 - 281 Chapel Street ,Prahran,3181,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,144.993052,-37.848668,,,
,VIC,Dan Murphy's Stores,,,147-153 Bell Street ,Preston,3072,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,-94.303033,37.337257,,,
,VIC,Dan Murphy's Stores,,,567 Bridge Road ,Richmond,3121,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,145.009603,-37.819355,,,
,VIC,Dan Murphy's Stores,,,Cnr Heatherdale & Canterbury Road ,Ringwood,3134,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,145.213348,-37.832355,,,
,VIC,Dan Murphy's Stores,,,1200 Stud Road ,Rowville,3178,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,145.232154,-37.92689,,,
,VIC,Dan Murphy's Stores,,,114 Cunninghame St,Sale,3850,"9:00AM-8:00PM Mon-Thu, 9:00AM-9:00PM Fri, 9:00AM-8:00PM Sat, 10:00AM-6:00PM Sun  ",,,,147.068677,-38.107563,,,
,VIC,Dan Murphy's Stores,,Seaford Hotel,362 Frankston Dandenong Road ,Seaford,3198,"9:00AM-8:00PM Mon-Wed, 9:00AM-9:00PM Thu-Fri, 9:00AM-8:00PM Sat, 10:00AM-6:00PM Sun  ",,,,145.155007,-38.113304,,,
,VIC,Dan Murphy's Stores,,,428-452 Wyndham Street ,Shepparton,3630,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,145.398067,-36.384207,,,
,VIC,Dan Murphy's Stores,,,100 Market Street ,South Melbourne,3006,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,144.957234,-37.830161,,,
,VIC,Dan Murphy's Stores,,,822 Plenty Road ,South Morang,3752,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,145.089049,-37.650635,,,
,VIC,Dan Murphy's Stores,,,82 Mahoneys Road ,Thomastown,3074,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,145.000656,-37.692384,,,
,VIC,Dan Murphy's Stores,,,60-64 Princess Street ,Traralgon,3844,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,146.535555,-38.198344,,,
,VIC,Dan Murphy's Stores,,Gateway Shopping Centre ,21-23 Gateway Road,Warrnambool,3280,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,142.520171,-38.37892,,,
,VIC,Dan Murphy's Stores,,Watergardens Shopping Centre ,399 Melton Highway,Watergardens,3038,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,144.773919,-37.696223,,,
,VIC,Dan Murphy's Stores,,,12 Korumburra road ,Wonthaggi,3995,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,145.589443,-38.602885,,,
,WA,Dan Murphy's Stores,,,9 York Street ,Albany,6330,"9:00AM-9:00PM Mon-Sat, Closed by Sun  ",,,,117.883955,-35.027348,,,
,WA,Dan Murphy's Stores,,Fieldgate Shopping Centre ,Cnr Culloton Crescent & Wanneroo Road,Balga,6061,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,115.823867,-31.848878,,,
,WA,Dan Murphy's Stores,,,52-54 Benningfield Road ,Bull Creek,6149,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,115.858072,-32.064811,,,
,WA,Dan Murphy's Stores,,,113 Spencer Street ,South Bunbury,6230,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,115.640697,-33.335784,,,
,WA,Dan Murphy's Stores,,,888 Nicholson Road,Canning Vale,6155,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,115.918427,-32.090226,,,
,WA,Dan Murphy's Stores,,,1480 - 1490 Albany Highway ,Cannington,6107,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,115.947081,-32.026466,,,
,WA,Dan Murphy's Stores,,,1244 Marmion Avenue ,Currambine,6028,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,115.739129,-31.740963,,,
,WA,Dan Murphy's Stores,,,Cnr Bulwer and Fitzgerald Streets ,Hyde Park,6005,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,115.857249,-31.938143,,,
,WA,Dan Murphy's Stores,,,2734 Albany Highway,Kelmscott,6111,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,116.013986,-32.111436,,,
,WA,Dan Murphy's Stores,,,6 Challenger Ave ,Kwinana,6167,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,115.816197,-32.24728,,,
,WA,Dan Murphy's Stores,,,Cnr Pinjarra Rd & Leslie Street ,Mandurah,6210,"9:00AM-9:00PM Mon-Sat, 10:00AM-6:00PM Sun  ",,,,115.721108,-32.534811,,,
,WA,Dan Murphy's Stores,,Midland Central Shopping Centre ,295 Great Eastern Highway,Midland,6056,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,116.004166,-31.890439,,,
,WA,Dan Murphy's Stores,,Centro Galleria Shopping Centre ,266 Walter Road West,Morley,6062,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,115.899173,-31.894975,,,
,WA,Dan Murphy's Stores,,,Cnr Warton Road & Holmes Street ,Southern River,6110,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,115.943133,-32.08969,,,
